id,carat,cut,color,clarity,depth,table,x,y,z,price
24967,1.01,Good,J,VS2,63.3,54.0,6.34,6.42,4.04,3555
3300,0.3,Good,E,SI1,63.6,57.0,4.22,4.24,2.69,526
5067,0.3,Very Good,D,VS2,62.8,59.0,4.26,4.28,2.68,710
18582,0.53,Premium,G,VS1,63.0,58.0,5.17,5.15,3.25,1727
22872,1.04,Ideal,G,VS1,61.2,58.0,6.5,6.53,3.99,7375
3253,0.3,Ideal,E,VS2,62.8,56.0,4.32,4.28,2.7,844
4252,1.15,Premium,E,SI2,62.3,58.0,6.73,6.67,4.18,4688
14719,0.3,Ideal,E,VS2,62.0,57.0,4.26,4.29,2.65,603
7903,1.05,Premium,G,SI1,60.3,57.0,6.64,6.59,3.99,4974
12532,1.15,Ideal,H,SI1,62.4,54.0,6.71,6.76,4.2,6106
12125,0.7,Very Good,I,VS1,62.4,58.0,5.62,5.67,3.52,1971
20338,0.52,Ideal,D,VS2,62.2,56.0,5.13,5.16,3.2,1822
19620,0.3,Premium,G,VS2,61.8,60.0,4.29,4.25,2.64,630
17581,0.43,Ideal,H,SI1,62.5,57.0,4.84,4.79,3.01,919
1375,1.12,Ideal,D,VS2,62.0,55.0,6.66,6.63,4.12,8430
3524,0.33,Ideal,E,VVS1,61.7,56.0,4.46,4.42,2.74,1052
21376,0.39,Very Good,F,VS1,62.0,56.0,4.72,4.64,2.9,971
7720,1.06,Ideal,F,SI2,62.7,56.0,6.52,6.47,4.07,3461
20953,0.54,Ideal,E,SI1,61.5,56.0,5.31,5.26,3.25,1594
9625,1.02,Ideal,E,VS2,61.0,56.0,6.53,6.51,3.98,8225
12466,0.71,Ideal,J,SI2,61.3,56.0,5.73,5.78,3.53,1901
15898,1.2,Good,D,I1,63.6,60.0,6.72,6.67,4.26,4346
751,0.42,Ideal,I,SI1,61.0,56.0,4.86,4.83,2.96,914
17029,0.91,Ideal,G,SI1,62.6,56.0,6.27,6.3,3.81,3991
26838,0.26,Ideal,I,VS1,61.6,54.0,4.08,4.12,2.53,578
26494,0.54,Ideal,E,SI2,62.1,56.0,5.18,5.22,3.23,1163
21578,0.35,Premium,F,VS2,61.4,59.0,4.56,4.53,2.79,906
3954,2.01,Good,F,I1,64.0,56.0,7.93,7.91,5.07,6686
25019,0.33,Very Good,E,IF,61.8,55.0,4.47,4.52,2.78,957
16352,1.82,Ideal,F,SI1,61.8,58.0,7.8,7.84,4.83,15802
3746,0.51,Ideal,E,SI2,61.7,56.0,5.12,5.14,3.18,1385
20774,0.78,Ideal,F,SI1,61.0,55.0,6.0,5.96,3.65,3036
486,1.52,Premium,E,SI1,62.5,59.0,7.33,7.26,4.56,12418
6472,0.32,Premium,H,VVS1,60.9,58.0,4.4,4.43,2.69,730
22769,0.32,Premium,E,SI1,60.4,61.0,4.42,4.39,2.66,672
24407,1.23,Ideal,H,VS1,60.6,57.0,6.94,6.98,4.22,7803
21005,0.51,Ideal,E,VS2,61.9,56.0,5.12,5.16,3.18,1656
16493,2.0,Premium,G,SI1,59.3,60.0,8.19,8.13,4.84,14918
16346,1.0,Premium,G,VS1,62.4,62.0,6.37,6.33,3.96,6290
11279,0.3,Ideal,G,SI1,62.0,58.0,4.27,4.29,2.65,477
11133,1.19,Good,E,VS2,57.4,60.0,6.9,7.0,3.99,6937
25484,1.52,Premium,E,VS1,59.9,60.0,7.47,7.39,4.45,16779
4914,1.12,Ideal,G,SI2,61.3,55.0,6.74,6.7,4.12,4990
20175,0.9,Good,F,SI1,63.6,59.0,6.07,6.12,3.88,3950
9499,0.32,Very Good,F,VVS2,62.5,55.0,4.39,4.42,2.75,778
8064,1.21,Premium,I,SI2,60.7,60.0,6.88,6.82,4.16,4879
21273,2.0,Ideal,I,SI1,61.4,57.0,8.05,8.11,4.96,16407
7864,1.6,Very Good,H,VS1,61.2,58.6,7.48,7.63,4.62,12378
160,0.31,Ideal,F,VS2,62.6,57.0,4.27,4.33,2.69,625
